teamID,team_Value
100,ANA
101,BAL
102,BLA
103,BOS
104,CAL
105,CHA
106,CLE
107,DET
108,KC1
109,KCA
110,LAA
111,MIN
112,ML4
113,MLA
114,NYA
115,OAK
116,PHA
117,SE1
118,SEA
119,SLA
120,TBA
121,TEX
122,TOR
123,WS1
124,WS2
200,ARI
201,ATL
202,BFN
203,BLN
204,BRO
205,BSN
206,CHN
207,CIN
208,CL2
209,CL4
210,CN1
211,COL
212,DTN
213,FLO
214,HAR
215,HOU
216,IN1
217,IN3
218,KCN
219,LAN
220,LS1
221,LS3
222,MIA
223,MIL
224,ML1
225,ML2
226,MON
227,NY1
228,NY3
229,NYN
230,PHI
231,PHN
232,PIT
233,PRO
234,SDN
235,SFN
236,SL3
237,SL5
238,SLN
239,SR1
240,TRN
241,WAS
242,WOR
243,WS8
300,ATOMS
301,CHUNICHI
302,DENA
303,HANSHIN
304,HIROSHIMA
305,KOKUTETSU
306,NAGOYA
307,NISHI NIPPON
308,OSAKA
309,SANKEI
310,SHOCHIKU
311,TAIYO
312,YAKULT
313,YOKOHAMA
314,YOMIURI
315,YOSHO
316,ATOMS
317,CHUNICHI
318,DENA
319,HANSHIN
320,HIROSHIMA
321,KOKUTETSU
322,NAGOYA
323,NISHI NIPPON
324,OSAKA
325,SANKEI
326,SHOCHIKU
327,TAIYO
328,YAKULT
329,YOKOHAMA
330,YOMIURI
331,YOSHO
400,BFP
401,BRP
402,BSP
403,CHP
404,CLP
405,CROWN LIGHTER
406,DAIEI
407,DAIMAI
408,HANKYU
409,KINTETSU
410,LOTTE
411,MAINICHI
412,NANKAI
413,NIPPON-HAM
414,NISHITETSU
415,NITTAKU
416,NYP
417,ORIONS
418,ORIX
419,PHP
420,PTP
421,RAKUTEN
422,SEIBU
423,SOFTBANK
424,TAIHEIYO CLUB
425,TAKAHASHI
426,TOEI
427,TOKYU
428,TOMBO
429,CROWN LIGHTER
430,DAIEI
431,DAIMAI
432,HANKYU
433,KINTETSU
434,MAINICHI
435,NANKAI
436,NIPPON-HAM
437,NISHITETSU
438,NITTAKU
439,ORIONS
440,ORIX
441,RAKUTEN
442,SEIBU
443,SOFTBANK
444,TAIHEIYO CLUB
445,TAKAHASHI
446,TOEI
447,TOKYU
448,TOMBO
500,BINGGRAE
501,CHUNGBO
502,DOOSAN
503,HAITAI
504,HANWHA
505,HYUNDAI
506,KIA
507,KT
508,KIWOOM
509,LG
510,LOTTE
511,MBC
512,NC
513,NEXEN
514,OB
515,PACIFIC
516,SBW
517,SK
518,SSG
519,SAMMI
520,SAMSUNG
521,WOORI
600,BL2
601,BL3
602,BR3
603,BR4
604,BS2
605,CL3
606,CL5
607,CL6
608,CN2
609,CN3
610,IN2
611,KC2
612,LS2
613,ML3
614,NY4
615,PH4
616,PT1
617,RC2
618,RIC
619,SL4
620,SR2
621,TL1
622,TL2
623,WS7
624,WS9
700,BLF
701,BRF
702,BUF
703,CHF
704,IND
705,KCF
706,NEW
707,PTF
708,SLF
800,ALT
801,BLU
802,BSU
803,CHU
804,CNU
805,KCU
806,MLU
807,PHU
808,SLU
809,SPU
810,WIL
811,WSU
900,ASAHI
901,CHUBU NIPPON
902,DAI TOKYO
903,EAGLES
904,GOLD STAR
905,KINKI
906,KINKI NIPPON
907,KINKO
908,KINSEI
909,KORAKUEN
910,KUROWASHI
911,KYOJIN
912,KYUEI
913,LION
914,PACIFIC
915,SANGYO
916,SENATORS
917,TSUBASA
918,YAMATO
919,ASAHI
920,CHUBU NIPPON
921,DAI TOKYO
922,EAGLES
923,GOLD STAR
924,KINKI
925,KINKI NIPPON
926,KINKO
927,KINSEI
928,KORAKUEN
929,KUROWASHI
930,KYOJIN
931,KYUEI
932,LION
933,SANGYO
934,SENATORS
935,TSUBASA
936,YAMATO
